T_ISSHOWITEM,Category,Garment,GarmentCode,Repairs & Alteration,Dry Cleaning,Extra Large Sheers,Express,Home Cleaning,Pressing Only,Laundry,Normal Laundry Bag,Load Wash,Long Laundry Bag,Long Suit Bag,Normal Suit Bag,Alteration & Repairs,Shoe Cleaning,Wash and Fold
0,Adult,Normal Suit Bag,NSB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Adult,Cap,CAP,0,500,0,0,0,125,300,0,0,0,0,0,0,0,0
1,Adult,2 Piece Sari Suit,2PSARI,0,1200,0,0,0,600,0,0,0,0,0,0,0,0,0
1,Adult,White 2 Piece Suit,W2PS,0,1200,0,0,0,600,0,0,0,0,0,0,0,0,0
1,Adult,3 Piece Sari Suit,3PSARI,0,1500,0,0,0,700,0,0,0,0,0,0,0,0,0
1,Adult,Top,TP,0,350,0,600,0,200,350,0,0,0,0,0,0,0,0
1,Adult,Tshirts,TST,0,400,0,450,0,200,350,0,0,0,0,0,0,0,0
1,Adult,Shirt,SHRT,0,500,0,600,0,200,400,0,0,0,0,0,0,0,0
1,Adult,Tight/Stockings,TSTK,0,0,0,0,0,125,300,0,0,0,0,0,0,0,0
1,Adult,Socks,SCKS,0,0,0,0,0,25,70,0,0,0,0,0,0,0,0
1,Adult,Scarf Small,SCFS,0,450,0,575,0,250,300,0,0,0,0,0,0,0,0
1,Adult,Scarf Large,SCFL,0,600,0,0,0,300,550,0,0,0,0,0,0,0,0
1,Adult,Polo Tshirt,PTST,0,0,0,0,0,150,350,0,0,0,0,0,0,0,0
1,Adult,Pajama Suit,PJMS,0,800,0,0,0,450,800,0,0,0,0,0,0,0,0
1,Adult,Trouser,TRS,0,500,0,750,0,250,600,0,0,0,0,0,0,0,0
1,Adult,Advocate Gown,ADVG,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Adult,African Shirt,AFRSHT,0,550,0,0,0,300,0,0,0,0,0,0,0,0,0
1,Adult,Jeans,JNS,0,0,0,750,0,250,500,0,0,0,0,0,0,0,0
1,Adult,Kanzu,KNZ,0,800,0,900,0,300,700,0,0,0,0,0,0,0,0
1,Adult,Labcoat,LBC,0,0,0,0,0,125,350,0,0,0,0,0,0,0,0
1,Adult,2 Piece Suit,2PS,0,1000,0,1500,0,500,900,0,0,0,0,0,0,0,0
1,Adult,Coat,CT,0,600,0,800,0,300,550,0,0,0,0,0,0,0,0
1,Adult,3 Piece Suit,3PS,0,1300,0,1800,0,600,0,0,0,0,0,0,1300,0,0
1,Adult,African Attire,AA,0,1200,0,1500,0,600,0,0,0,0,0,0,0,0,0
1,Adult,Beaded Dress,BD,0,1800,0,0,0,600,0,0,0,0,0,0,0,0,0
1,Adult,Blouse,BZ,0,600,0,525,0,225,450,0,0,0,0,0,0,0,0
1,Adult,Bride Maid Dress,BMD,0,1800,0,0,0,700,1500,0,0,0,0,0,0,0,0
1,Adult,Dress,DR,0,800,0,1200,0,325,700,0,0,0,0,0,0,0,0
1,Adult,Long Dress,LDR,0,1200,0,1500,0,600,900,0,0,0,0,0,0,0,0
1,Adult,Evening Dress,EVDR,0,1500,0,1800,0,600,1000,0,0,0,0,0,0,0,0
1,Adult,Fleece Jacket,FLCJ,0,800,0,0,0,0,600,0,0,0,0,0,0,0,0
1,Adult,Graduation Gown,GG,0,1500,0,2000,0,525,1000,0,0,0,0,0,0,0,0
1,Adult,Wedding Dress Straight,WDS,0,3500,0,0,0,1750,3500,0,0,0,0,0,0,0,0
1,Adult,Wedding Dress Beaded,WDB,0,5000,0,0,0,2500,4000,0,0,0,0,0,0,0,0
1,Adult,Wedding Dress Princess,WDP,0,4500,0,0,0,2000,5000,0,0,0,0,0,0,0,0
1,Adult,Half Jacket,HJ,0,550,0,0,0,200,550,0,0,0,0,0,0,0,0
0,Adult,Sari Scarf Small,SRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Adult,Half Coat,HC,0,400,0,0,0,200,400,0,0,0,0,0,0,0,0
1,Adult,Half Leather,HL,0,1800,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Adult,Half Sweater,HS,0,550,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Adult,Jacket,JCK,0,800,0,1000,0,400,700,0,0,0,0,0,0,0,0
1,Adult,Jacket Light,JCKL,0,600,0,1000,0,400,600,0,0,0,0,0,0,0,0
